model,asvspoof19,asvspoof21,asvspoof5,in_the_wild
AASIST,4.594960848425264,17.700468559561177,37.81197984802983,41.78904933164947
AASIST-L,6.744480406824183,19.131477484065336,39.468499943499125,45.279904629590476
AASIST3,20.829198149179323,29.17582216033523,19.030713519711913,40.117159365001285
LFCC+LCNN,19.64213430902758,33.80995914124982,22.599585288034334,70.2316505830302
XLS-R+AASIST,1.1716561196245323,,2.551931387848526,
XLS-R+Nes2Net,0.44897010252864533,2.9277938933757217,1.8033609732356917,5.573744272198083
